"id","male","race","age","exp","dis","vet","jk1","jk2","jk3","con1","con2","con3","con4","emo1","emo2","emo3","emo4","int1","int2","int3","lapr"
60853,1,1,30,42,0,0,26,23,23,3,5,3,3,3,4,3,3,3,2,2,4
72922,0,1,35,46,0,0,25,27,27,4,4,2,4,3,4,3,4,3,2,2,3
54597,1,3,27,34,0,0,27,27,30,4,3,3,4,3,4,4,2,1,1,1,1
78786,0,1,26,26,0,0,24,23,23,3,2,4,2,3,4,3,3,1,1,1,1
88158,1,1,30,43,0,0,28,28,27,3,3,3,2,4,3,4,2,3,3,2,5
47500,1,1,28,36,0,0,27,25,24,4,4,3,3,3,3,4,2,2,2,1,2
94493,1,1,26,36,0,0,22,23,24,3,2,3,3,3,3,4,3,1,1,1,3
72610,1,1,33,43,0,0,28,26,28,3,3,3,3,3,4,3,2,2,2,3,3
84846,1,1,31,41,0,1,29,28,27,4,5,2,4,3,4,3,3,2,2,3,5
34396,1,1,25,35,0,0,26,27,28,4,4,2,4,3,3,4,2,2,2,1,5
14841,1,1,33,47,0,0,28,26,28,3,3,3,3,3,5,3,3,3,3,3,5
56058,1,3,25,42,0,0,28,28,26,3,4,3,3,4,3,4,2,2,2,1,5
20292,0,2,24,40,0,0,26,26,26,3,3,3,3,3,4,4,2,2,2,2,3
60026,0,1,31,37,0,0,21,25,24,4,5,1,4,3,2,5,2,1,1,1,4
95722,1,1,35,42,0,0,27,29,28,2,2,3,2,3,4,3,3,3,3,3,2
97674,1,3,29,40,0,0,26,27,25,2,4,3,3,3,4,3,3,1,3,2,2
15502,1,1,27,36,0,0,24,24,23,3,4,3,3,3,4,3,3,1,2,2,4
62497,0,2,27,35,0,0,20,22,21,2,3,3,3,3,3,4,3,1,1,1,2
78821,1,2,29,35,0,0,26,26,26,4,3,3,4,4,3,4,2,1,2,1,3
62042,1,1,28,39,1,1,30,27,30,4,4,2,4,2,5,2,3,2,2,2,3
72133,0,1,26,30,0,0,20,21,23,3,3,2,4,3,4,4,3,1,1,1,1
48826,1,3,30,38,0,0,24,24,22,2,2,4,2,2,5,1,4,2,3,3,2
81321,1,2,29,34,0,0,28,28,28,3,3,3,3,3,4,3,2,3,2,1,1
31763,0,2,31,43,1,0,25,26,27,4,3,3,3,3,3,4,2,2,2,2,3
26238,0,2,28,31,1,0,25,29,28,4,4,1,5,4,2,5,2,2,3,2,4
70597,1,1,27,34,0,0,21,22,26,2,2,3,3,3,4,4,3,2,1,1,3
78145,1,1,29,37,1,0,27,28,26,4,5,2,4,3,3,3,2,2,2,2,3
25668,0,1,25,29,0,0,27,27,24,4,4,2,3,5,2,5,1,2,3,2,4
75175,0,1,25,35,0,0,18,18,19,2,2,3,2,2,5,2,5,1,1,1,3
43703,0,1,35,42,0,1,26,26,24,3,4,3,3,3,4,3,4,3,2,2,2
89682,0,1,27,39,0,0,25,26,27,3,4,2,4,3,4,4,2,1,1,1,4
38336,0,1,35,49,0,0,30,30,29,4,5,2,4,4,3,4,2,3,3,3,5
67890,1,1,26,28,0,0,23,27,25,3,3,2,3,4,2,4,2,1,2,1,3
24643,1,1,30,45,0,0,25,24,26,3,2,3,3,3,4,3,3,1,1,1,3
20819,1,4,30,37,0,0,27,26,26,3,3,3,3,3,4,2,3,2,3,3,3
73695,1,1,25,38,0,0,26,22,23,2,4,3,3,3,4,3,3,2,1,1,3
12608,0,3,28,33,0,0,22,23,20,2,2,3,2,3,4,3,4,1,1,1,1
64420,0,3,30,33,1,0,25,23,21,2,3,4,2,3,4,3,3,2,2,2,2
66668,0,2,27,36,0,0,28,27,27,3,3,3,3,3,4,3,3,3,3,3,3
50129,1,4,29,34,0,0,26,26,25,3,4,3,3,3,5,2,4,2,2,2,2
13893,0,1,30,40,0,0,25,28,25,4,4,2,3,3,3,3,3,2,2,2,3
62686,0,1,27,41,1,1,25,25,26,4,5,2,5,3,4,3,3,3,2,2,3
35359,1,1,27,40,0,1,31,29,32,4,4,3,5,4,3,5,1,3,3,3,5
63482,1,3,31,41,0,0,32,29,28,4,4,3,3,4,4,3,2,2,2,1,4
76328,1,1,34,47,0,0,26,25,30,2,2,4,3,2,5,2,3,2,3,3,1
29768,1,3,26,26,0,0,21,23,23,2,1,4,2,3,3,3,3,2,1,1,1
33483,1,1,28,29,0,0,25,24,26,4,3,3,3,3,4,4,3,1,2,2,3
50374,0,3,23,29,0,0,26,24,24,3,4,3,4,4,4,3,2,2,1,1,2
55669,1,1,28,36,1,0,27,26,27,4,5,2,4,3,3,4,2,2,2,2,3
18009,0,3,26,35,0,0,27,26,23,3,4,3,3,4,4,3,3,2,2,3,4
86951,0,1,35,50,0,0,24,28,30,4,4,1,4,4,2,5,2,3,3,2,5
89219,1,1,29,37,0,0,23,25,27,3,3,3,3,2,3,4,3,1,2,1,5
62622,1,1,32,38,0,0,28,25,23,3,3,4,2,4,4,3,3,1,2,2,2
80656,1,1,30,38,0,0,26,27,27,3,3,3,4,3,4,2,3,2,2,2,2
34816,1,1,31,32,0,0,25,25,23,2,2,3,2,4,3,4,3,2,2,3,3
41727,1,3,27,36,0,0,25,26,26,3,3,2,4,3,4,3,3,2,2,2,1
13269,1,2,25,39,0,0,25,24,25,3,3,3,3,3,4,3,3,2,2,2,3
64100,1,1,26,25,0,0,24,23,20,2,2,4,2,3,4,3,3,2,2,2,1
71048,0,1,25,28,0,0,24,23,23,3,3,3,3,3,4,2,4,2,2,3,1
72000,0,1,26,36,0,0,26,23,26,3,3,3,4,4,4,4,3,2,2,2,3
49259,1,1,25,35,0,0,33,28,27,4,4,3,3,4,4,4,1,2,2,2,4
46704,1,1,28,32,0,0,24,25,24,3,4,2,4,3,3,4,2,1,1,1,1
64690,0,2,26,43,0,0,27,26,27,4,3,2,4,4,4,4,2,2,2,1,5
97774,1,3,25,30,0,0,26,27,25,2,2,4,2,3,4,2,3,1,2,1,1
87848,1,1,31,41,0,0,28,29,30,4,4,2,4,4,3,4,2,3,3,3,5
70756,0,1,30,41,1,0,25,25,26,3,3,2,4,4,3,4,3,2,2,3,5
98885,1,2,30,36,0,0,26,28,28,4,3,2,4,3,4,3,3,1,1,1,2
67981,1,1,32,46,0,0,26,26,24,3,4,2,3,4,3,3,2,1,2,2,5
55012,0,4,26,33,0,0,26,27,29,3,3,3,4,3,3,4,1,2,2,2,3
39501,1,2,26,37,0,0,25,27,25,4,4,2,4,3,3,4,2,1,2,1,5
77718,1,1,33,37,0,0,25,24,25,3,3,3,2,3,4,3,4,2,2,2,3
71412,1,1,29,39,0,0,23,22,25,3,4,2,3,3,5,4,4,1,2,3,3
13231,1,2,32,48,0,0,23,25,26,3,3,3,4,3,4,3,3,2,2,2,3
28655,1,3,30,34,0,0,24,22,24,2,1,4,1,3,5,3,3,1,1,1,1
57801,1,2,33,44,0,0,26,25,26,3,3,3,3,2,5,2,4,1,2,1,3
91862,1,4,19,27,0,0,27,26,25,3,3,2,4,3,5,3,3,3,2,2,3
65158,0,1,28,38,0,0,26,25,25,3,4,3,3,4,3,4,2,3,3,3,4
68438,1,2,23,26,0,0,21,20,20,2,2,4,2,3,4,2,5,1,1,1,2
72272,1,1,32,36,0,1,27,28,25,3,3,3,2,3,4,2,3,1,2,2,1
17227,1,3,31,37,0,0,31,29,30,4,3,4,3,4,4,4,2,2,2,2,3
94770,1,1,29,36,0,0,27,26,27,4,3,3,3,3,4,3,3,3,2,2,3
31493,1,1,30,39,0,0,26,28,29,3,4,2,4,3,4,4,3,2,2,2,2
77346,1,2,23,34,0,0,27,27,27,3,4,2,5,3,4,3,3,2,2,2,4
41904,0,1,31,34,1,1,26,26,25,4,4,2,4,4,4,4,3,2,3,3,4
43367,1,3,33,40,0,0,27,28,24,3,3,3,2,4,3,3,3,2,2,3,3
15799,1,3,35,49,0,0,29,29,29,4,2,3,2,3,5,2,3,2,2,2,2
45737,0,1,28,43,1,0,26,26,26,3,4,2,3,4,3,5,2,3,2,2,5
17630,1,1,27,43,0,0,29,31,31,4,5,2,5,4,2,5,1,3,3,3,5
47245,0,2,33,47,0,1,26,28,26,4,3,2,3,3,4,3,3,2,2,2,4
73949,1,1,34,46,0,0,25,26,27,4,4,2,4,2,5,3,4,2,2,2,3
83198,0,3,30,42,0,0,25,24,26,3,4,3,4,2,5,3,3,2,2,2,3
22250,0,1,29,36,0,0,24,26,28,3,2,3,3,3,3,5,2,2,3,2,2
88898,1,2,23,31,0,0,24,25,27,4,3,2,5,3,4,3,3,2,2,2,2
16514,0,1,25,35,0,0,27,28,27,5,4,1,5,3,3,4,2,2,2,2,2
16620,1,3,26,38,0,0,26,27,25,3,3,3,3,2,4,2,3,2,2,1,3
75887,1,3,26,42,0,0,26,24,24,3,3,3,3,4,4,3,2,2,2,1,3
32517,0,1,26,32,0,0,25,23,24,4,5,2,4,3,4,4,3,1,1,2,3
74661,1,1,27,37,0,0,25,24,24,2,3,3,3,3,5,2,3,2,3,2,1
10800,0,1,28,40,0,0,26,25,24,3,3,3,3,3,4,3,3,2,2,2,3
45462,0,1,31,51,0,0,24,27,26,2,2,3,3,3,4,3,3,2,3,3,4
62010,0,1,32,48,0,0,24,26,24,3,4,2,3,3,4,3,3,1,2,1,2
70789,0,1,30,39,0,0,26,24,25,3,3,4,3,3,4,3,3,2,3,3,2
16474,0,3,31,39,0,0,24,24,24,3,2,3,3,3,5,3,4,3,2,2,2
87812,1,2,29,42,0,1,27,25,27,3,4,3,4,3,5,3,3,2,2,2,3
75592,1,1,29,37,0,0,24,23,25,3,4,3,3,3,5,4,3,2,2,2,1
58766,1,3,35,42,0,0,30,29,31,3,2,4,2,4,3,5,1,3,3,3,3
64765,1,1,27,38,0,0,28,28,26,3,3,3,3,4,3,3,2,2,3,2,2
70068,1,3,33,46,0,0,25,24,25,2,2,4,2,3,4,3,3,1,1,1,1
47836,0,4,38,46,0,1,28,29,28,4,4,2,3,3,3,4,2,2,3,3,3
29693,1,1,25,33,0,0,25,26,26,3,3,3,3,3,3,4,2,1,2,2,4
66036,1,4,25,31,0,0,25,26,23,4,4,2,3,3,4,3,4,3,2,1,4
14725,1,1,30,41,0,0,20,24,25,3,2,2,4,2,4,3,4,2,2,2,4
43471,0,1,30,36,1,0,25,26,26,3,4,3,3,3,3,4,3,2,2,2,4
24689,0,3,31,40,0,0,27,25,25,3,3,3,3,3,4,3,3,2,3,3,3
99274,1,3,31,40,0,0,32,31,34,5,3,3,4,3,4,3,2,3,3,3,2
13704,0,2,28,37,0,0,23,25,26,4,3,3,4,3,3,4,3,1,1,1,5
29004,0,3,26,41,0,0,24,27,29,3,2,2,4,3,3,5,2,2,3,3,4
55126,1,1,26,38,0,0,26,28,27,4,3,2,4,3,4,2,3,2,2,2,2
11955,1,1,31,46,0,0,28,27,27,4,4,2,4,4,3,4,2,2,3,2,4
20927,0,3,33,40,0,0,24,26,24,3,3,2,3,4,3,4,3,1,2,2,2
85094,0,1,31,38,0,0,24,23,23,3,3,3,3,4,3,3,3,1,2,2,5
27336,0,3,26,36,0,1,27,27,24,5,5,2,4,3,3,3,3,2,1,1,4
63892,1,1,28,38,0,0,25,21,23,3,2,5,2,3,3,3,3,1,1,1,2
94259,0,1,32,45,0,0,25,26,26,3,2,3,2,3,4,4,3,2,1,1,2
47332,0,1,27,44,0,0,24,24,24,2,3,3,3,3,4,2,2,2,2,2,3
22820,1,3,24,36,0,0,21,23,21,2,2,2,3,3,4,3,4,1,1,1,1
38930,1,1,30,40,0,0,29,28,28,3,3,3,3,3,4,4,2,2,3,2,3
34480,1,2,32,40,0,0,27,25,24,4,4,3,3,3,5,2,4,1,2,1,3
61746,0,1,24,29,0,0,26,22,24,3,3,4,3,3,4,3,3,2,1,2,2
36133,0,2,24,40,0,0,27,25,24,3,4,3,3,4,3,3,2,2,2,2,5
62640,1,1,32,43,0,0,27,26,27,3,3,3,3,3,5,2,3,2,3,3,1
54265,1,1,29,41,0,0,27,27,28,3,5,3,5,3,3,4,2,2,2,2,3
88751,0,1,30,40,0,1,24,25,24,3,3,3,3,3,4,3,3,2,2,2,3
50862,1,3,29,50,0,0,25,27,29,3,3,3,4,3,3,4,2,2,2,2,5
48328,1,1,22,31,0,0,24,23,23,2,3,3,3,3,4,4,3,2,2,2,3
22358,0,4,25,34,0,0,27,26,26,3,5,2,4,4,3,5,2,3,2,1,4
87104,1,1,33,45,0,0,27,24,25,3,4,3,3,3,4,2,3,3,2,3,5
52261,0,1,26,43,0,0,26,27,29,4,4,2,4,4,3,5,2,2,2,1,4
12503,1,3,32,40,0,0,28,26,27,3,3,3,3,4,4,4,2,2,3,3,3
72738,0,2,25,39,0,0,27,29,29,3,4,2,4,3,3,4,2,2,3,3,5
37157,1,3,27,33,0,0,26,27,25,3,4,2,4,3,3,3,3,2,1,1,3
70167,0,2,27,32,0,0,25,25,23,2,3,4,2,4,3,4,2,2,2,1,3
29727,1,1,31,44,0,1,30,26,26,4,5,3,3,2,5,2,3,1,2,2,3
87947,0,1,32,45,0,1,26,30,30,5,3,2,5,3,3,4,3,3,3,3,5
15635,0,1,25,33,0,0,27,25,25,4,4,3,3,4,3,5,1,2,2,2,3
92022,1,3,21,30,0,0,24,23,23,3,4,2,4,2,5,2,5,1,1,1,3
45470,0,1,33,45,0,0,23,22,25,2,1,4,1,3,4,3,3,2,1,1,3
70976,0,3,29,46,0,0,28,28,30,3,3,2,4,3,4,4,2,3,2,3,5
78108,0,2,28,32,0,0,25,28,27,4,3,3,3,4,2,5,1,2,1,1,3
11016,1,4,29,38,0,0,26,25,24,3,4,3,3,3,4,3,2,1,2,1,3
34752,1,2,29,33,0,0,26,28,28,3,3,3,3,3,4,3,3,2,2,2,1
97001,0,3,30,39,0,0,28,26,26,4,4,3,4,4,4,3,2,2,2,3,5
51482,1,3,24,29,0,0,29,28,29,4,4,2,4,3,3,4,1,2,2,2,2
66978,1,1,28,33,0,0,27,23,25,3,4,4,3,5,3,5,2,2,1,2,3
36838,1,1,28,31,0,0,24,26,25,2,2,3,2,3,4,3,3,1,3,2,1
39584,1,4,27,33,0,0,28,24,26,3,3,3,3,4,4,3,3,2,3,3,2
77263,0,1,24,39,0,0,27,25,25,4,4,2,3,4,4,4,2,3,2,2,5
92318,1,1,30,43,0,0,27,27,26,3,4,3,3,3,3,3,2,2,3,3,5
