"id","yearh","male","race","age","exp","dis","vet","jk1","jk2","jk3","con1","con2","con3","con4","emo1","emo2","emo3","emo4","int1","int2","int3","lapr"
62930,2021,1,1,26,36,0,0,25,25,23,4,4,2,4,3,4,3,4,1,2,1,4
23909,2007,1,3,27,30,0,0,22,21,23,2,2,4,2,3,4,3,3,2,1,1,1
30133,2004,0,1,31,32,0,0,26,25,26,3,3,3,3,4,4,4,2,2,2,3,2
26017,2023,0,1,30,47,0,1,28,28,28,3,3,2,4,3,4,3,2,3,3,3,5
55162,2015,0,3,32,39,0,0,27,28,28,4,3,3,3,3,4,3,3,3,3,3,3
49100,2010,0,1,25,31,0,0,26,25,26,3,3,3,3,4,4,3,3,2,2,2,3
28320,2007,1,3,23,31,0,0,29,27,28,4,3,3,3,3,4,3,2,3,2,2,4
46902,1996,1,3,28,36,0,0,28,28,27,4,3,3,3,3,4,3,3,2,3,2,3
75751,2022,1,1,27,35,0,0,26,26,27,3,3,3,4,4,3,4,3,2,2,2,2
44082,2008,0,1,32,41,0,1,25,30,29,4,4,2,4,3,2,5,2,3,2,3,4
77473,2001,1,1,21,33,0,0,25,25,26,2,4,3,4,4,3,4,2,2,2,1,3
27591,2016,1,1,25,31,0,0,25,25,25,3,3,3,3,2,5,2,4,3,2,3,2
16599,2001,0,2,30,36,1,1,25,23,24,3,3,3,3,3,5,3,3,2,2,3,3
76581,1995,0,1,30,42,0,0,24,25,23,3,4,2,4,3,4,2,4,2,2,2,4
62393,2000,1,3,32,41,0,0,28,27,30,3,3,3,3,3,4,4,2,2,3,2,3
45701,1998,1,1,30,37,0,0,26,28,28,3,3,3,3,4,3,4,3,1,2,2,3
98122,1999,1,2,33,44,0,0,28,29,28,4,4,2,3,4,4,4,2,2,3,3,5
38131,2024,1,3,31,35,0,0,28,27,30,4,3,3,4,2,5,2,4,2,3,3,1
28400,1995,1,1,34,49,0,0,25,24,26,3,3,3,3,3,4,4,3,2,2,2,3
28844,1996,1,1,26,40,0,0,23,24,23,2,3,3,3,2,4,2,4,2,1,1,3
63789,2020,1,1,26,33,1,0,23,24,24,3,4,3,4,3,4,3,3,1,1,1,1
37099,1996,1,1,32,43,0,0,29,27,28,4,4,3,4,3,4,3,3,2,1,2,4
91468,2010,1,1,22,35,0,0,25,25,23,2,4,3,3,3,3,3,3,2,2,3,4
59673,2022,1,1,31,44,1,1,28,29,28,5,5,2,5,3,4,3,4,1,2,2,5
17564,2009,1,1,27,32,0,0,26,26,27,2,2,4,2,3,4,3,3,2,2,3,1
95788,2023,1,1,25,31,0,0,27,24,21,3,3,4,2,4,4,3,3,2,2,1,3
74288,2004,0,2,29,35,0,0,23,23,23,2,2,3,2,3,5,3,3,1,1,1,1
39100,2016,0,3,26,34,0,0,26,25,23,3,4,2,4,3,5,2,4,2,2,2,3
74986,2022,1,1,27,35,0,0,27,29,26,4,4,2,3,4,3,4,2,2,2,1,3
54702,2002,1,2,27,37,0,0,26,27,25,3,4,2,3,3,4,3,3,2,2,2,2
88424,2014,1,1,23,34,0,0,27,26,27,4,5,2,5,3,4,4,2,1,2,1,4
36765,2006,1,3,30,44,0,0,28,29,26,4,4,2,3,4,3,3,2,2,2,1,5
66479,2007,1,1,34,50,1,0,26,25,26,2,3,3,3,3,4,3,3,2,2,2,4
85579,2022,0,1,27,36,0,1,28,27,26,4,4,2,4,4,4,4,2,2,2,2,3
99599,2024,1,1,35,42,0,0,26,25,29,3,3,3,3,2,5,4,3,2,2,2,2
22211,2020,1,1,33,40,0,0,27,28,29,2,2,4,3,3,4,3,3,1,2,2,2
67823,2002,1,2,30,34,1,1,26,28,28,3,3,3,3,3,4,4,3,2,2,2,2
22773,2019,1,1,26,31,0,0,31,26,28,4,3,3,3,4,4,3,2,3,3,2,1
77361,2007,1,1,29,36,0,0,27,28,28,3,2,3,3,4,3,4,2,2,3,3,3
36904,2019,0,1,28,33,0,0,23,28,28,4,4,2,5,3,2,5,2,2,3,3,2
93371,2011,0,1,21,24,0,0,25,23,21,3,3,3,3,4,3,4,3,2,2,1,2
74114,1998,1,3,26,32,0,0,27,26,24,4,5,3,3,3,4,3,3,2,2,1,5
30344,2000,1,1,29,43,0,0,26,24,25,2,3,4,3,3,4,2,3,2,2,2,3
78484,2011,0,1,27,33,0,0,27,27,31,4,3,3,4,4,3,5,2,3,3,3,3
56457,2015,1,1,26,35,0,0,26,23,24,3,4,3,4,3,4,3,4,2,2,2,5
57926,2002,1,1,28,27,0,0,25,25,26,3,3,3,3,3,4,3,3,2,2,2,1
60341,1996,1,3,30,38,1,1,25,27,29,4,3,2,4,3,4,3,3,1,1,1,2
46565,2009,1,1,33,40,0,0,25,28,29,3,4,3,4,2,3,3,3,2,2,2,1
97144,1998,0,1,27,33,0,0,31,28,27,4,3,3,3,4,4,3,2,3,3,3,3
90843,2004,0,1,27,44,0,0,19,20,19,2,3,3,3,3,4,3,4,1,1,1,5
27374,2007,1,3,25,30,0,0,24,24,26,4,3,3,4,3,4,3,3,2,2,1,3
41974,2007,1,5,29,36,0,0,23,23,21,3,5,3,3,1,5,1,5,2,1,1,2
16606,2023,1,3,30,42,0,0,24,26,27,3,3,3,3,3,3,4,3,2,2,1,4
53107,2011,0,1,23,32,0,0,25,23,24,3,4,2,4,4,3,4,2,3,2,3,4
23499,2004,0,1,31,38,0,1,27,28,28,4,5,2,4,3,3,4,2,3,3,3,3
17067,2020,0,3,31,42,0,0,25,27,26,4,5,2,4,4,2,4,2,2,1,1,3
83082,1997,1,1,27,32,0,0,25,25,23,3,4,2,3,4,3,4,2,1,1,2,2
88202,2023,1,1,28,33,0,0,25,24,25,3,2,4,2,3,4,3,2,2,2,2,1
34012,2012,1,3,30,39,0,0,24,25,24,3,4,3,3,3,3,3,3,2,2,1,5
60842,2018,1,1,33,51,0,0,27,30,30,4,4,2,4,3,3,4,2,3,2,2,4
22366,1999,1,2,30,41,0,0,27,26,26,2,3,4,3,3,4,3,3,1,2,2,3
81610,2011,1,3,34,45,0,0,28,32,30,5,4,1,4,3,3,3,4,3,3,3,5
37257,2009,1,2,30,45,0,0,29,27,26,4,4,2,3,4,4,4,3,2,2,1,3
24149,2000,0,1,28,39,0,0,25,24,24,3,4,3,4,4,2,5,1,2,1,2,3
37323,2024,1,1,24,42,0,0,29,29,29,3,4,2,4,4,3,4,1,3,3,3,4
36994,2021,1,1,25,31,0,0,25,25,26,3,2,3,3,2,4,3,3,2,2,2,3
16897,2012,0,1,32,45,0,0,26,26,26,4,4,3,4,3,3,4,3,2,3,2,4
23102,2004,1,1,26,36,0,0,26,25,26,4,4,2,4,3,4,4,3,2,2,2,5
37907,1998,1,1,33,39,0,0,26,24,25,2,1,4,1,3,4,4,3,2,2,1,1
93597,2020,1,2,29,41,0,0,28,27,25,3,3,3,2,3,4,3,3,1,2,1,4
61373,2004,1,2,34,40,0,0,28,27,28,3,3,3,2,3,4,3,4,2,3,3,5
70969,1999,1,1,27,37,0,0,27,25,27,3,3,3,3,2,5,2,3,2,2,3,3
71301,2024,1,2,30,44,0,0,25,27,26,3,3,3,3,3,4,3,3,2,2,2,2
46390,1997,1,1,27,36,0,0,23,23,23,2,2,4,2,3,4,3,3,2,1,1,2
51316,1999,0,1,30,44,0,0,24,23,23,3,4,2,4,4,4,3,3,2,2,1,3
77738,1996,0,3,30,36,0,0,26,23,23,3,4,3,3,3,4,4,3,1,2,1,4
60853,2023,0,2,31,39,0,0,26,24,23,3,5,3,3,3,4,3,3,3,2,2,2
72922,2024,1,1,33,45,0,0,25,27,27,4,3,2,3,3,4,3,3,3,2,3,4
54597,2021,1,3,26,34,0,0,26,27,30,4,3,3,4,3,4,4,2,1,1,1,1
78786,1996,1,1,25,29,0,0,24,23,23,2,2,4,3,3,3,3,3,1,1,1,1
88158,2024,0,1,30,39,0,0,28,29,27,4,3,3,2,4,3,4,2,3,3,3,3
47500,2000,1,3,26,34,0,0,27,25,24,4,4,3,3,3,3,4,2,2,2,1,2
94493,2006,1,3,29,35,0,0,22,24,24,3,2,3,3,3,3,4,3,1,1,1,1
72610,2019,1,2,31,41,0,0,28,26,28,3,3,3,3,3,4,3,3,2,3,2,3
84846,1997,1,1,31,40,0,0,29,29,27,4,5,2,4,3,4,3,4,2,3,3,4
34396,1997,1,1,26,34,0,0,27,28,28,4,5,2,4,3,3,4,2,2,2,1,3
14841,2008,0,3,33,46,0,0,28,26,28,3,3,3,3,3,4,3,3,3,3,3,5
56058,2008,0,3,31,41,0,0,29,29,26,4,4,3,3,4,3,4,1,2,2,2,3
20292,2017,0,1,24,42,0,0,26,26,26,3,3,3,4,4,3,4,2,2,2,2,4
60026,2022,0,1,28,38,1,0,21,25,24,4,5,1,5,4,2,5,2,1,1,1,5
95722,2009,1,1,33,41,0,0,27,29,28,2,2,3,2,3,4,3,3,3,3,3,3
97674,2010,1,2,31,41,0,0,26,26,25,3,4,3,3,3,4,3,3,1,3,3,2
15502,2000,0,2,29,33,0,0,24,25,23,3,4,3,3,3,4,3,3,1,2,2,1
62497,1997,0,2,27,37,0,0,20,21,21,1,3,3,3,3,3,4,3,1,1,1,4
78821,2015,1,2,25,35,0,0,25,25,25,3,3,2,4,4,4,4,2,2,2,2,4
62042,2011,1,1,31,40,0,1,30,27,30,4,4,2,4,2,5,2,3,2,2,2,2
72133,2021,1,1,26,30,0,0,20,21,23,3,3,2,4,3,4,4,3,1,1,1,1
48826,2011,1,3,30,38,0,0,24,24,22,2,2,3,2,2,5,1,4,2,3,3,2
81321,2015,1,2,27,34,0,0,28,28,28,3,3,3,3,3,4,3,2,3,2,2,3
31763,2012,1,1,32,47,0,0,25,25,27,3,3,3,3,3,3,4,2,2,2,2,5
26238,2012,1,1,29,34,0,0,25,28,28,4,5,1,4,4,2,5,1,1,2,3,5
70597,2006,0,1,29,33,0,0,21,22,26,3,2,3,3,3,4,4,3,1,1,1,2
78145,2011,1,1,30,39,0,0,27,28,26,4,5,2,4,4,3,3,2,2,2,1,3
25668,2002,0,1,26,29,0,0,27,27,24,4,4,2,3,5,2,5,1,2,3,2,3
75175,2018,0,1,28,35,0,0,18,19,19,3,2,3,2,2,5,2,5,1,1,1,1
43703,1995,1,1,34,42,0,1,26,26,24,3,3,3,3,3,5,3,4,3,2,3,3
89682,2023,1,1,25,40,0,0,24,26,27,3,4,2,5,3,4,3,3,2,2,1,5
38336,2014,1,1,34,49,0,0,30,30,29,4,5,2,5,4,3,4,2,3,3,3,5
67890,2008,0,4,27,26,0,0,23,28,25,3,3,2,3,4,2,4,2,1,2,1,3
24643,2003,1,2,30,43,0,0,25,24,26,3,2,3,3,3,4,3,2,1,1,1,2
20819,2002,1,4,31,35,0,0,27,27,26,3,3,3,3,3,4,2,3,2,3,3,1
73695,2007,0,1,28,37,0,0,26,23,24,3,4,3,3,3,4,3,3,2,1,1,1
12608,2018,1,1,29,35,0,0,22,23,20,2,2,3,2,3,4,3,4,1,1,1,2
64420,2013,1,3,31,36,0,0,25,22,21,3,3,4,2,4,4,3,3,2,2,2,3
66668,2012,0,3,28,35,0,0,28,27,27,3,3,3,3,3,4,3,3,3,3,3,3
50129,1996,1,4,28,35,0,0,26,26,25,3,4,3,3,3,5,2,4,2,2,2,2
13893,2003,1,1,31,42,0,1,25,27,25,4,4,2,3,3,3,3,3,2,2,2,4
62686,2013,0,1,27,44,0,1,25,24,26,4,5,2,5,4,4,3,3,3,2,2,4
35359,2020,0,1,31,39,0,1,31,29,33,5,5,3,5,4,3,5,1,3,3,3,3
63482,2004,1,3,29,39,1,0,32,29,28,4,3,3,3,4,4,3,2,2,2,2,4
76328,2024,1,1,35,47,0,0,26,25,30,2,2,4,3,2,5,3,3,2,3,3,1
29768,2014,1,3,29,27,0,0,21,23,23,2,1,4,2,3,3,3,3,2,1,1,1
33483,1995,1,1,26,29,0,0,25,24,26,4,3,3,3,3,4,4,3,1,2,2,3
50374,2021,1,3,22,29,0,0,26,24,24,3,4,3,4,4,4,3,2,2,1,1,3
55669,2010,1,1,30,38,0,0,27,26,27,4,5,2,5,4,3,4,2,1,2,2,3
18009,2024,0,3,26,35,0,0,27,26,23,3,4,3,3,4,4,3,3,2,3,3,4
86951,1998,1,1,33,51,0,0,24,27,30,4,4,1,5,4,2,5,2,3,3,2,5
89219,2002,0,1,32,37,0,0,23,25,27,3,3,3,3,2,4,4,3,1,2,2,3
62622,2009,1,4,29,37,0,0,28,26,23,3,3,4,2,4,4,3,3,2,2,2,3
80656,2015,1,1,30,38,0,1,26,26,27,3,3,3,4,3,4,2,3,2,2,3,3
34816,2005,1,1,31,31,0,0,25,26,24,2,2,4,2,4,3,4,3,2,2,2,2
41727,2023,1,3,22,33,0,0,25,27,26,3,3,2,4,3,4,3,3,2,2,2,3
13269,2007,0,2,27,37,0,0,25,24,25,3,3,3,3,2,4,3,3,2,2,2,2
64100,2021,1,1,27,26,0,0,24,22,20,2,2,4,2,3,4,3,3,2,2,2,1
71048,2006,1,1,26,30,0,0,24,23,23,3,3,3,3,3,4,2,4,2,3,2,1
72000,2016,1,1,24,36,0,0,26,23,26,3,3,3,4,3,4,4,2,2,2,2,5
49259,1995,0,1,27,35,0,0,33,28,27,4,4,3,3,4,4,4,1,2,2,2,3
46704,2011,1,1,30,31,0,0,24,25,24,3,4,3,4,4,3,4,3,1,1,1,1
64690,2000,1,2,27,45,0,0,27,26,27,4,3,3,4,4,4,4,2,2,2,1,5
97774,2016,1,3,28,30,0,0,26,27,25,2,2,4,2,3,4,3,3,1,1,2,1
87848,2005,1,1,30,40,0,0,28,29,30,4,4,2,4,3,3,4,2,3,3,3,5
70756,1999,1,1,34,44,0,0,25,24,26,4,3,3,4,4,3,4,3,2,2,2,4
98885,2022,1,2,30,35,0,0,26,28,28,4,3,2,4,3,4,3,3,1,2,1,2
67981,1998,0,2,34,44,1,0,26,27,24,3,4,2,3,4,3,3,2,1,2,2,2
55012,2013,1,1,27,35,0,0,26,27,29,3,3,3,4,3,3,4,1,2,2,2,3
39501,1998,0,2,26,35,0,0,25,27,25,4,4,2,4,3,3,4,2,1,2,1,5
77718,2013,1,1,32,36,1,0,25,25,25,3,3,3,3,3,4,3,4,2,2,2,3
71412,2020,1,1,29,38,0,0,23,23,24,3,4,3,4,3,4,4,4,2,3,2,3
13231,2010,1,2,29,45,0,0,23,25,26,3,3,3,4,2,4,3,3,2,2,2,3
28655,2001,1,3,30,34,0,0,24,22,25,2,1,4,1,3,5,3,4,1,2,1,1
57801,1999,1,2,34,44,0,0,26,25,26,3,3,3,3,2,5,2,4,1,2,1,2
91862,2014,1,4,24,29,0,0,28,25,25,4,4,2,4,3,5,3,3,2,2,2,2
65158,2015,0,1,27,37,0,0,26,26,24,3,4,3,3,4,3,4,2,3,3,3,5
68438,2018,0,2,23,23,0,0,21,20,20,2,2,3,2,3,5,2,4,1,1,1,2
72272,2019,1,1,29,36,0,1,27,29,25,2,3,3,2,3,4,2,3,1,2,2,2
17227,2022,1,3,29,35,0,0,31,29,30,4,3,3,3,4,4,4,2,2,2,2,3
94770,2000,1,3,28,34,0,0,26,27,27,3,3,3,3,2,4,3,3,3,2,2,3
31493,2006,1,1,30,41,0,0,26,27,29,3,4,2,4,3,4,4,3,2,2,2,3
77346,2020,1,2,28,34,0,0,28,27,27,4,4,2,5,3,4,3,3,2,2,2,1
41904,2020,0,1,33,35,0,1,26,25,25,4,4,2,4,4,4,4,3,2,3,3,3
43367,2008,1,3,35,40,0,0,27,28,24,3,3,3,2,4,3,3,3,2,2,2,2
15799,2007,1,3,33,49,0,0,29,29,29,3,2,3,2,3,5,2,3,2,2,2,3
45737,2004,0,1,32,46,0,0,27,26,27,4,4,3,3,4,3,5,2,2,2,2,3
17630,2007,0,1,31,42,0,0,30,31,31,5,5,1,5,4,2,5,1,3,3,3,5
47245,2007,1,1,32,48,0,1,26,28,26,4,3,2,3,3,4,3,3,3,2,2,5
73949,1995,1,1,34,46,0,0,25,26,28,4,4,2,4,3,5,3,4,2,3,2,3
83198,2016,1,3,30,45,0,0,25,23,25,3,4,3,4,3,5,3,3,1,2,2,3
22250,2013,1,1,25,36,0,0,24,25,27,2,2,3,3,3,3,4,2,2,3,2,5
88898,2016,1,2,25,32,0,0,24,25,27,4,3,2,5,3,4,3,3,2,2,2,1
16514,2009,1,1,22,36,0,0,26,28,27,5,4,2,5,4,3,4,2,2,2,2,3
16620,2003,1,3,28,39,0,0,27,27,25,3,4,3,3,2,4,2,3,2,2,1,3
75887,2007,0,3,27,40,0,0,26,24,25,3,3,3,3,3,4,3,2,2,1,1,3
32517,2022,0,2,27,31,0,0,25,24,24,4,5,3,4,3,4,4,3,1,2,1,3
74661,2013,1,1,28,38,0,0,25,24,24,2,3,3,3,3,5,2,3,2,2,2,1
10800,2003,0,1,30,41,0,0,26,25,24,3,4,3,3,3,4,3,3,2,2,2,2
45462,2011,0,1,32,52,0,0,24,27,27,2,2,3,3,3,4,3,3,2,3,3,4
62010,2007,1,1,30,48,0,0,24,26,24,3,4,2,3,3,4,3,3,2,2,1,3
70789,2000,1,1,28,38,0,0,26,24,25,3,3,3,3,3,4,3,3,2,2,3,3
16474,2010,1,3,29,39,0,0,24,24,24,2,2,3,3,3,5,3,4,3,2,2,3
87812,1995,0,3,28,38,1,0,27,26,27,3,4,3,4,3,5,2,3,2,2,2,1
75592,2003,1,2,30,37,0,0,24,23,25,3,4,3,4,3,4,3,3,2,2,1,1
58766,2020,1,3,34,41,0,0,30,29,31,3,2,4,2,4,3,5,1,3,3,3,4
64765,2007,1,1,30,39,0,0,28,28,26,4,3,3,3,4,4,3,1,2,3,2,2
70068,2002,1,3,32,45,0,0,25,24,25,2,2,4,2,3,4,3,3,1,1,1,2
47836,2003,1,1,33,46,1,0,28,30,28,4,4,2,3,3,3,3,3,3,3,2,5
29693,2001,0,1,29,33,0,0,25,26,26,3,3,3,3,4,3,4,2,1,2,1,1
66036,2002,0,4,28,31,0,0,26,26,23,4,4,2,3,3,4,3,3,2,2,1,3
14725,1998,0,2,34,38,0,0,20,25,25,3,3,2,3,2,4,3,4,2,2,2,1
43471,2019,1,1,33,39,0,0,25,25,26,4,4,3,3,3,3,4,2,2,2,2,4
24689,1996,1,3,27,39,0,0,26,25,25,3,3,3,3,3,4,3,3,2,3,3,5
99274,2016,1,3,31,39,0,0,32,32,34,5,3,2,4,3,4,3,2,3,3,3,2
13704,2000,1,2,29,38,0,0,23,25,27,4,3,3,4,3,3,4,2,1,1,1,5
29004,2015,0,3,28,40,0,0,24,27,29,3,2,2,4,3,3,5,2,2,3,3,3
55126,1998,1,1,28,39,0,0,26,27,27,4,3,2,4,3,4,2,3,2,2,2,2
11955,1996,1,1,32,47,0,0,28,27,27,4,5,2,4,4,3,4,2,2,3,2,4
20927,2023,1,1,29,43,0,0,23,25,24,3,3,3,3,4,3,4,3,1,2,1,5
85094,2016,0,3,31,36,0,0,24,24,23,3,3,3,3,4,3,3,3,1,2,2,4
27336,1999,0,3,25,36,0,1,27,27,24,4,5,2,4,3,3,3,3,2,1,2,5
63892,2004,1,1,28,37,0,0,25,21,23,3,2,5,2,3,4,3,3,1,1,1,2
94259,2005,1,1,29,45,0,0,25,25,26,3,2,3,2,3,3,3,3,2,1,1,4
47332,2018,0,3,27,41,0,0,24,24,24,2,3,3,3,3,4,2,3,2,2,2,2
22820,1999,1,3,26,36,0,0,21,23,21,2,2,2,3,3,4,3,4,1,1,1,1
38930,2004,0,2,28,37,1,0,29,28,28,3,3,3,3,3,4,4,2,3,3,3,3
34480,2000,1,2,31,39,0,0,27,25,24,3,4,2,3,3,5,2,4,1,2,2,3
61746,2012,0,1,25,27,0,0,26,22,24,3,3,4,3,3,4,3,3,2,2,2,1
36133,2011,0,2,26,40,0,0,27,26,24,3,4,3,4,4,3,3,2,2,2,1,4
62640,2011,1,1,30,43,0,0,27,26,27,2,3,3,3,3,5,2,3,3,3,3,2
54265,2000,1,1,32,41,0,0,27,27,28,4,5,3,5,3,3,4,2,2,2,2,3
88751,2002,0,1,30,41,0,0,24,25,24,3,3,3,3,3,3,3,3,3,2,2,3
50862,2019,0,3,32,49,0,0,25,28,29,4,3,3,4,3,3,4,2,2,2,2,4
48328,2004,0,4,27,31,0,0,24,24,23,3,4,3,3,3,4,4,3,2,2,2,1
22358,2022,1,1,28,36,0,0,27,25,26,4,5,2,4,4,4,5,2,2,2,1,3
87104,2001,0,3,33,44,0,0,27,25,25,3,4,4,3,3,4,2,4,3,2,2,3
52261,2023,1,1,27,43,0,0,27,26,29,4,4,2,4,4,3,5,1,2,2,1,4
12503,2007,1,3,30,38,0,0,27,27,27,3,3,3,3,3,3,4,2,2,3,3,4
